Time,Gas,Electricity
01/02/2023,5144.30,10582
01/03/2023,5233.63,10777
01/04/2023,5341.52,11036
01/05/2023,5382.29,11258
01/06/2023,,
01/07/2023,5415.05,11606
01/08/2023,5430.27,11750
01/09/2023,5444.66,11909
01/10/2023,5457.33,12051
01/11/2023,5494.51,12282
01/12/2023,5608.51,12515
01/01/2024,5709.37,12713
01/02/2024,5862.79,12983
01/03/2024,5963.29,13212
01/04/2024,6047.98,13407
01/05/2024,6099.42,13616
01/06/2024,6120.83,13814
01/07/2024,6136.90,13974
01/08/2024,6150.00,14124
01/09/2024,,
01/10/2024,6179.73,14435
01/11/2024,,
01/12/2024,6338.74,14839
01/01/2025,6466.94,15067
01/02/2025,,
01/03/2025,6803.93,15497
01/04/2025,6888.38,15695
01/05/2025,6919.60,15871
01/06/2025,6939.17,16036
01/07/2025,6956.10,16226
01/08/2025,,
01/09/2025,6975.09,16492
